CODE_OPERATION	CODE_STATION	DATE	CODE_PHASE	CODE_TAXON	RESULTAT	CODE_REMARQUE	TYPO_NATIONALE
06000890*2009-09-30*102*I	6000890	2009-09-30	B	933	140	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	978	2	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	906	1	4	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	2393	2	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	908	2	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	807	470	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	364	7	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	1043	1	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	908	41	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	831	6	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	928	15	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	1044	1	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	622	55	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	836	1	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	67	2	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	880	2	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	200	70	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	313	3	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	657	22	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	200	9	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	704	4	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	383	9	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	3163	1	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	A	325	12	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	918	3	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	5152	2	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	967	1	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	2395	2	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	997	3	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	200	94	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	A	657	8	1	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	A	3170	1	4	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	1041	1	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	3163	2	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	387	1	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	807	880	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	A	906	1	4	P10
06000890*2012-07-30*1*I	6000890	2012-07-30	C	1009	2	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	363	1	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	838	11	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	313	3	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	1044	1	1	P10
06000890*2009-09-30*102*I	6000890	2009-09-30	B	212	10	1	P10
